11/18/2014 01:13:16 PM | pgres2csv | INFO | Counting rows in source...
11/18/2014 01:13:16 PM | pgres2csv | INFO | Starting Thread-0
11/18/2014 01:13:16 PM | pgres2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:13:16 PM | pgres2csv | INFO | Extracting data...
11/18/2014 01:13:16 PM | pgres2csv | INFO | Done.
11/18/2014 01:13:16 PM | pgres2csv | INFO | Thread-0 exit status 0
11/18/2014 01:13:16 PM | pgres2csv | INFO | Exiting Thread-0
11/18/2014 01:13:16 PM | pgres2csv | INFO | Shard-0/0:          20 rows
11/18/2014 01:13:16 PM | pgres2csv | INFO | TOTAL Bytes:        2109 Bytes
11/18/2014 01:13:16 PM | pgres2csv | INFO | TOTAL Rows:           20 Rows
11/18/2014 01:13:16 PM | pgres2csv | INFO | Done.
11/18/2014 01:13:16 PM | pgres2csv | INFO | Elapsed: 00:00:00
