11/18/2014 01:17:24 PM | tten2csv | INFO | Counting rows in source...
11/18/2014 01:17:28 PM | tten2csv | INFO | Starting Thread-0
11/18/2014 01:17:28 PM | tten2csv | INFO | Thread-0 processing Shard-0
11/18/2014 01:17:28 PM | tten2csv | INFO | Extracting data...
11/18/2014 01:17:30 PM | tten2csv | INFO | Done.
11/18/2014 01:17:30 PM | tten2csv | INFO | Thread-0 exit status 0
11/18/2014 01:17:30 PM | tten2csv | INFO | Exiting Thread-0
11/18/2014 01:17:30 PM | tten2csv | INFO | Shard-0/0:		n/a
11/18/2014 01:17:30 PM | tten2csv | INFO | TOTAL Bytes:        4830 Bytes
11/18/2014 01:17:30 PM | tten2csv | INFO | TOTAL Rows:		n/a
11/18/2014 01:17:30 PM | tten2csv | INFO | Done.
11/18/2014 01:17:30 PM | tten2csv | INFO | Elapsed: 00:00:06
